timestamp,temperature,humidity
2024-01-15 08:00:00,23.5,45.2
2024-01-15 08:05:00,24.1,46.8
2024-01-15 08:10:00,-5.0,120.0
2024-01-15 08:15:00,25.0,47.5
2024-01-15 08:20:00,25.8,48.2
2024-01-15 08:25:00,26.2,49.0
2024-01-15 08:30:00,26.5,48.5
2024-01-15 08:35:00,27.0,50.1
2024-01-15 08:40:00,27.3,51.0
2024-01-15 08:45:00,55.0,105.0
2024-01-15 08:50:00,27.8,49.5
2024-01-15 08:55:00,28.0,48.8
2024-01-15 09:00:00,28.2,49.2
2024-01-15 09:05:00,28.5,49.0
2024-01-15 09:10:00,28.8,48.5
2024-01-15 09:15:00,29.0,47.8
2024-01-15 09:20:00,29.2,48.0
2024-01-15 09:25:00,29.5,48.2
2024-01-15 09:30:00,29.8,48.5
2024-01-15 09:35:00,30.0,49.0
2024-01-15 09:40:00,30.2,49.5
2024-01-15 09:45:00,30.5,50.0
2024-01-15 09:50:00,30.8,49.8
2024-01-15 09:55:00,31.0,49.5
2024-01-15 10:00:00,31.2,49.2
2024-01-15 10:05:00,-10.0,invalid_humidity
2024-01-15 10:10:00,31.8,48.5
2024-01-15 10:15:00,32.0,48.2
2024-01-15 10:20:00,32.2,48.0
2024-01-15 10:25:00,32.5,47.8
2024-01-15 10:30:00,32.8,47.5
2024-01-15 10:35:00,33.0,47.2
2024-01-15 10:40:00,33.2,47.0
2024-01-15 10:45:00,33.5,46.8
2024-01-15 10:50:00,33.8,46.5
2024-01-15 10:55:00,34.0,46.2
2024-01-15 11:00:00,34.2,46.0
2024-01-15 11:05:00,34.5,45.8
2024-01-15 11:10:00,34.8,45.5
2024-01-15 11:15:00,35.0,45.2
2024-01-15 11:20:00,35.2,45.0
2024-01-15 11:25:00,35.5,44.8
2024-01-15 11:30:00,35.8,44.5
2024-01-15 11:35:00,36.0,44.2
2024-01-15 11:40:00,36.2,44.0
2024-01-15 11:45:00,36.5,43.8
2024-01-15 11:50:00,36.8,43.5
2024-01-15 11:55:00,37.0,43.2
2024-01-15 12:00:00,37.2,43.0
2024-01-15 12:05:00,37.5,42.8
2024-01-15 12:10:00,37.8,42.5
2024-01-15 12:15:00,38.0,42.2
2024-01-15 12:20:00,38.2,42.0
2024-01-15 12:25:00,38.5,41.8
2024-01-15 12:30:00,38.8,41.5
2024-01-15 12:35:00,39.0,41.2
2024-01-15 12:40:00,39.2,41.0
2024-01-15 12:45:00,39.5,40.8
2024-01-15 12:50:00,39.8,40.5
2024-01-15 12:55:00,40.0,40.2
2024-01-15 13:00:00,40.2,40.0
2024-01-15 13:05:00,40.5,39.8
2024-01-15 13:10:00,40.8,39.5
2024-01-15 13:15:00,60.0,150.0
2024-01-15 13:20:00,41.2,39.0
2024-01-15 13:25:00,41.5,38.8
2024-01-15 13:30:00,41.8,38.5
2024-01-15 13:35:00,42.0,38.2
2024-01-15 13:40:00,42.2,38.0
2024-01-15 13:45:00,42.5,37.8
2024-01-15 13:50:00,42.8,37.5
2024-01-15 13:55:00,43.0,37.2
2024-01-15 14:00:00,43.2,37.0
2024-01-15 14:05:00,43.5,36.8
2024-01-15 14:10:00,43.8,36.5
2024-01-15 14:15:00,44.0,36.2
2024-01-15 14:20:00,44.2,36.0
2024-01-15 14:25:00,44.5,35.8
2024-01-15 14:30:00,44.8,35.5
2024-01-15 14:35:00,45.0,35.2
2024-01-15 14:40:00,45.2,35.0
2024-01-15 14:45:00,45.5,34.8
2024-01-15 14:50:00,45.8,34.5
2024-01-15 14:55:00,46.0,34.2
2024-01-15 15:00:00,46.2,34.0
2024-01-15 15:05:00,46.5,33.8
2024-01-15 15:10:00,46.8,33.5
2024-01-15 15:15:00,47.0,33.2
2024-01-15 15:20:00,47.2,33.0
2024-01-15 15:25:00,47.5,32.8
2024-01-15 15:30:00,47.8,32.5
2024-01-15 15:35:00,48.0,32.2
2024-01-15 15:40:00,48.2,32.0
2024-01-15 15:45:00,48.5,31.8
2024-01-15 15:50:00,48.8,31.5
2024-01-15 15:55:00,49.0,31.2
2024-01-15 16:00:00,49.2,31.0
2024-01-15 16:05:00,49.5,30.8
2024-01-15 16:10:00,49.8,30.5
2024-01-15 16:15:00,50.0,30.2
2024-01-15 16:20:00,50.2,30.0
2024-01-15 16:25:00,50.5,29.8
2024-01-15 16:30:00,50.8,29.5
2024-01-15 16:35:00,51.0,29.2
2024-01-15 16:40:00,51.2,29.0
2024-01-15 16:45:00,51.5,28.8
2024-01-15 16:50:00,51.8,28.5
2024-01-15 16:55:00,52.0,28.2
2024-01-15 17:00:00,52.2,28.0
